home_MSOA,work_MSOA,commuter_count
E02002995,E02002993,144
E02002996,E02002993,199
E02002997,E02002993,184
E02002998,E02002993,144
E02002999,E02002993,134
E02003000,E02002993,99
E02003001,E02002993,129
E02003002,E02002993,98
E02003003,E02002993,157
E02003004,E02002993,31
E02003005,E02002993,14
E02003006,E02002993,144
E02003007,E02002993,44
E02003008,E02002993,67
E02003009,E02002993,45
E02003010,E02002993,56
E02003011,E02002993,35
E02003012,E02002993,3
E02003013,E02002993,4
E02003015,E02002993,3
E02003016,E02002993,3
E02003017,E02002993,4
E02003018,E02002993,3
E02003019,E02002993,2
E02003020,E02002993,2
E02003021,E02002993,6
E02003022,E02002993,2
E02003023,E02002993,4
E02003025,E02002993,2
E02003026,E02002993,9
E02003027,E02002993,11
E02003028,E02002993,7
E02003029,E02002993,6
E02003030,E02002993,5
E02003031,E02002993,8
E02003032,E02002993,4
E02003033,E02002993,11
E02003034,E02002993,14
E02003036,E02002993,11
E02003037,E02002993,12
E02003038,E02002993,7
E02003039,E02002993,12
E02003040,E02002993,14
E02003041,E02002993,10
E02003043,E02002993,10
E02003044,E02002993,10
E02003045,E02002993,9
E02003046,E02002993,12
E02003047,E02002993,23
E02003048,E02002993,14
E02003049,E02002993,11
E02003050,E02002993,12
E02003051,E02002993,13
E02003052,E02002993,14
E02003053,E02002993,9
E02003054,E02002993,12
E02003055,E02002993,4
E02003056,E02002993,4
E02003057,E02002993,2
E02003058,E02002993,12
E02003059,E02002993,1
E02003060,E02002993,13
E02003061,E02002993,1
E02003063,E02002993,8
E02003064,E02002993,2
E02006887,E02002993,20
E02006888,E02002993,2
E02006889,E02002993,5
E02006890,E02002993,3
E02003065,E02002993,4
E02003066,E02002993,2
E02003067,E02002993,2
E02003068,E02002993,1
E02003069,E02002993,2
E02003070,E02002993,3
E02003071,E02002993,3
E02003073,E02002993,3
E02003074,E02002993,2
E02003075,E02002993,5
E02003076,E02002993,3
E02003077,E02002993,4
E02003078,E02002993,4
E02003079,E02002993,3
E02003080,E02002993,3
E02003081,E02002993,2
E02003084,E02002993,1
E02003085,E02002993,1
E02003086,E02002993,1
E02003088,E02002993,4
E02003089,E02002993,1
E02006845,E02002993,7
E02006846,E02002993,2
E02003090,E02002993,4
E02003091,E02002993,3
E02003092,E02002993,4
E02003093,E02002993,1
E02003094,E02002993,6
E02003095,E02002993,3
E02003096,E02002993,3
E02003097,E02002993,4
E02003098,E02002993,5
E02003099,E02002993,1
E02003100,E02002993,1
E02003101,E02002993,9
E02003102,E02002993,4
E02003103,E02002993,4
E02003104,E02002993,3
E02003105,E02002993,5
E02003106,E02002993,8
E02003107,E02002993,5
E02003108,E02002993,18
E02003109,E02002993,7
E02003110,E02002993,21
E02003111,E02002993,3
E02003112,E02002993,6
E02003113,E02002993,39
E02003114,E02002993,11
E02003115,E02002993,18
E02003116,E02002993,4
E02003117,E02002993,16
E02003118,E02002993,17
E02003119,E02002993,35
E02003120,E02002993,25
E02003121,E02002993,33
E02002985,E02002994,11
E02002986,E02002994,10
E02002987,E02002994,7
E02002988,E02002994,46
E02002989,E02002994,23
E02002990,E02002994,41
E02002991,E02002994,47
E02002992,E02002994,16
E02002993,E02002994,16
E02002994,E02002994,291
E02002995,E02002994,24
E02002996,E02002994,28
E02002997,E02002994,24
E02002998,E02002994,33
E02002999,E02002994,28
E02003000,E02002994,23
E02003001,E02002994,25
E02003002,E02002994,57
E02003003,E02002994,43
E02003004,E02002994,9
E02003005,E02002994,10
E02003006,E02002994,60
E02003007,E02002994,24
E02003008,E02002994,33
E02003009,E02002994,24
E02003010,E02002994,32
E02003011,E02002994,17
E02003012,E02002994,1
E02003021,E02002994,1
E02003023,E02002994,1
E02003024,E02002994,1
E02003026,E02002994,2
E02003027,E02002994,2
E02003028,E02002994,1
E02003029,E02002994,1
E02003031,E02002994,1
E02003033,E02002994,1
E02003034,E02002994,1
E02003036,E02002994,4
E02003037,E02002994,1
E02003038,E02002994,1
E02003040,E02002994,1
E02003041,E02002994,2
E02003044,E02002994,2
E02003045,E02002994,1
E02003046,E02002994,3
E02003047,E02002994,2
E02003048,E02002994,2
E02003052,E02002994,2
E02003053,E02002994,2
E02003054,E02002994,2
E02003055,E02002994,2
E02003058,E02002994,4
E02003062,E02002994,1
E02003064,E02002994,1
E02006889,E02002994,2
E02003065,E02002994,1
E02003068,E02002994,1
E02003071,E02002994,1
E02003072,E02002994,2
E02003074,E02002994,2
E02003075,E02002994,2
E02003077,E02002994,5
E02003090,E02002994,1
E02003091,E02002994,1
E02003092,E02002994,6
E02003093,E02002994,1
E02003095,E02002994,5
E02003096,E02002994,1
E02003097,E02002994,2
E02003099,E02002994,2
E02003101,E02002994,1
E02003102,E02002994,2
E02003103,E02002994,1
E02003105,E02002994,1
E02003107,E02002994,1
E02003108,E02002994,5
E02003110,E02002994,4
E02003111,E02002994,2
E02003113,E02002994,15
E02003114,E02002994,2
E02003115,E02002994,3
E02003116,E02002994,7
E02003117,E02002994,4
E02003118,E02002994,7
E02003119,E02002994,10
E02003120,E02002994,7
E02003121,E02002994,12
E02002985,E02002995,17
E02002986,E02002995,19
E02002987,E02002995,8
E02002988,E02002995,22
E02002989,E02002995,42
E02002990,E02002995,31
E02002991,E02002995,36
E02002992,E02002995,36
E02002993,E02002995,39
E02002994,E02002995,40
E02002995,E02002995,178
E02002996,E02002995,22
E02002997,E02002995,70
E02002998,E02002995,42
E02002999,E02002995,83
E02003000,E02002995,30
E02003001,E02002995,36
E02003002,E02002995,21
E02003003,E02002995,48
E02003004,E02002995,10
E02003005,E02002995,17
E02003006,E02002995,59
E02003007,E02002995,40
E02003008,E02002995,35
E02003009,E02002995,32
E02003010,E02002995,32
E02003011,E02002995,14
E02003012,E02002995,1
E02003013,E02002995,3
E02003015,E02002995,2
E02003016,E02002995,2
E02003017,E02002995,1
E02003019,E02002995,2
E02003021,E02002995,3
E02003022,E02002995,1
E02003024,E02002995,1
E02003025,E02002995,3
E02003026,E02002995,2
E02003027,E02002995,6
E02003028,E02002995,2
E02003029,E02002995,3
E02003030,E02002995,4
E02003031,E02002995,1
E02003032,E02002995,2
E02003033,E02002995,5
E02003034,E02002995,3
E02003037,E02002995,2
E02003038,E02002995,7
E02003039,E02002995,3
E02003040,E02002995,5
E02003041,E02002995,2
E02003043,E02002995,3
E02003044,E02002995,4
E02003046,E02002995,6
E02003047,E02002995,6
E02003048,E02002995,3
E02003049,E02002995,5
E02003050,E02002995,2
E02003051,E02002995,3
E02003052,E02002995,2
E02003053,E02002995,2
E02003054,E02002995,3
E02003055,E02002995,5
E02003056,E02002995,2
E02003057,E02002995,3
E02003058,E02002995,4
E02003059,E02002995,1
E02003060,E02002995,4
E02006887,E02002995,1
E02006888,E02002995,2
E02006889,E02002995,2
E02006890,E02002995,3
E02003065,E02002995,1
E02003070,E02002995,5
E02003071,E02002995,1
E02003078,E02002995,2
E02003081,E02002995,2
E02003084,E02002995,2
E02003085,E02002995,1
