,E02002985,E02002986,E02002987,E02002988,E02002989,E02002990,E02002991,E02002992,E02002993,E02002994,E02002995,E02002996,E02002997,E02002998,E02002999,E02003000,E02003001,E02003002,E02003003,E02003004,E02003005,E02003006,E02003007,E02003008,E02003009,E02003010,E02003011,E02003012,E02003013,E02003014,E02003015,E02003016,E02003017,E02003018,E02003019,E02003020,E02003021,E02003022,E02003023,E02003024,E02003025,E02003026,E02003027,E02003028,E02003029,E02003030,E02003031,E02003032,E02003033,E02003034,E02003036,E02003037,E02003038,E02003039,E02003040,E02003041,E02003043,E02003044,E02003045,E02003046,E02003047,E02003048,E02003049,E02003050,E02003051,E02003052,E02003053,E02003054,E02003055,E02003056,E02003057,E02003058,E02003059,E02003060,E02003061,E02003062,E02003063,E02003064,E02006887,E02006888,E02006889,E02006890,E02003065,E02003066,E02003067,E02003068,E02003069,E02003070,E02003071,E02003072,E02003073,E02003074,E02003075,E02003076,E02003077,E02003078,E02003079,E02003080,E02003081,E02003082,E02003084,E02003085,E02003086,E02003087,E02003088,E02003089,E02006845,E02006846,E02003090,E02003091,E02003092,E02003093,E02003094,E02003095,E02003096,E02003097,E02003098,E02003099,E02003100,E02003101,E02003102,E02003103,E02003104,E02003105,E02003106,E02003107,E02003108,E02003109,E02003110,E02003111,E02003112,E02003113,E02003114,E02003115,E02003116,E02003117,E02003118,E02003119,E02003120,E02003121
E02003063,22,18,15,0,0,1,15,6,8,0,0,8,1,0,0,6,1,1,0,37,24,2,8,2,3,5,0,6,2,23,13,1,9,4,57,6,6,3,4,11,18,3,11,11,2,5,8,17,12,37,80,13,4,2,25,15,305,0,3,38,37,3,51,98,18,63,52,88,11,64,83,169,89,31,14,2,168,93,254,15,78,4,5,2,2,29,3,24,1,11,4,1,13,7,31,0,0,4,0,0,0,0,0,1,6,0,0,0,3,3,11,11,19,2,0,6,12,1,35,0,0,1,2,1,52,18,26,2,9,5,2,8,5,5,4,11,16,4,9,16
E02003064,8,4,7,0,0,0,5,3,2,1,0,3,1,0,0,4,0,0,0,7,1,1,3,0,2,0,0,6,4,28,2,1,8,1,44,3,0,2,1,23,10,9,7,3,2,3,3,6,5,16,36,7,1,1,12,13,176,1,5,30,43,5,36,124,4,51,24,36,4,70,56,56,109,15,6,27,27,173,77,5,20,2,2,2,3,18,0,18,0,7,0,1,3,7,33,3,0,0,0,0,1,0,0,0,6,0,0,0,3,1,3,2,9,3,2,0,10,1,24,2,0,0,0,2,23,16,17,0,7,1,0,5,3,4,0,9,6,3,5,8
E02006887,3,2,2,1,0,0,37,3,20,0,1,18,0,0,0,1,1,0,0,0,5,0,0,1,0,0,0,3,2,12,16,7,5,1,24,5,1,2,2,21,21,14,10,2,3,6,12,4,24,74,156,50,4,2,6,25,772,0,6,25,19,1,13,58,7,18,3,10,5,4,14,15,6,3,0,1,3,2,543,19,47,4,4,2,9,9,3,19,0,10,2,0,1,3,22,0,0,0,0,0,5,0,0,1,4,1,1,1,1,4,2,1,20,3,1,1,21,1,50,1,1,0,1,1,147,32,16,0,17,6,0,10,9,5,1,4,4,3,2,6
E02006888,2,3,3,0,1,0,10,2,2,0,2,5,0,0,0,2,2,1,0,1,3,0,1,0,1,0,0,5,2,24,21,8,7,1,14,7,5,1,10,51,58,2,23,12,5,13,28,17,31,88,93,38,3,1,35,19,305,1,10,25,10,1,13,23,3,12,7,9,4,5,5,15,10,2,0,0,3,8,167,116,65,57,1,1,5,3,3,6,1,1,0,1,4,1,4,0,0,1,0,0,1,1,0,0,2,1,0,0,6,2,7,1,32,3,1,1,11,1,23,1,0,0,1,3,67,33,26,1,8,3,1,0,6,13,2,6,11,6,6,2
E02006889,5,2,1,0,0,0,15,7,5,2,2,2,1,0,0,4,0,1,1,1,6,0,3,0,0,1,0,4,4,11,20,8,4,0,21,7,5,10,11,36,43,2,14,14,4,14,17,9,10,73,97,26,3,5,52,23,322,2,5,24,5,3,13,31,1,11,1,7,3,4,8,10,6,4,3,0,1,2,214,62,138,11,3,0,3,8,0,7,2,10,4,1,3,7,12,1,0,1,0,0,7,1,0,3,1,1,5,0,5,4,1,2,37,0,5,2,18,1,21,4,2,0,1,2,62,43,23,0,14,4,1,0,5,12,1,10,4,9,5,4
E02006890,5,5,3,0,0,0,26,5,3,0,3,9,0,0,0,3,5,1,1,2,7,4,1,1,0,1,0,7,10,31,37,15,11,1,23,4,12,2,23,85,124,12,26,18,13,22,16,41,36,140,98,33,6,9,44,18,516,2,3,31,24,1,16,46,4,13,5,22,4,12,16,9,12,1,3,2,6,16,221,93,67,123,7,2,5,17,6,7,1,7,3,0,8,5,12,1,0,2,0,1,4,2,2,0,6,1,0,0,12,12,24,4,42,1,0,3,26,4,41,5,0,0,0,7,132,40,39,2,16,8,1,3,5,16,2,31,14,3,11,7
E02003065,3,2,3,0,0,0,10,5,4,1,1,2,0,0,0,1,0,0,0,4,2,0,4,1,1,0,0,7,7,74,54,2,24,1,116,4,6,4,2,7,8,8,11,6,2,4,4,11,10,14,34,35,2,4,3,21,278,0,6,14,20,1,4,20,3,32,5,10,1,15,16,7,6,1,3,3,2,12,129,2,20,2,567,137,239,101,57,142,54,60,24,33,24,41,25,12,4,17,5,11,39,17,7,3,13,13,15,16,7,15,14,19,71,5,0,4,27,1,79,9,0,0,1,0,116,43,19,0,7,2,0,1,8,3,1,4,2,2,1,3
E02003066,0,4,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,9,38,18,0,7,2,71,6,2,3,3,2,9,7,3,3,1,4,4,11,12,15,20,23,0,0,7,18,190,0,2,9,9,0,6,11,0,13,3,7,0,6,10,1,9,0,1,3,1,3,79,2,22,2,296,194,137,63,41,65,42,30,14,20,18,44,16,10,3,7,7,11,21,10,6,1,14,19,11,5,5,10,8,7,46,3,1,0,34,0,42,0,0,0,3,1,78,22,8,0,5,4,0,0,4,6,1,2,2,1,0,2
E02003067,4,1,0,0,0,1,11,2,2,0,0,1,0,0,0,0,1,0,0,3,4,2,0,0,3,0,1,7,6,67,49,4,12,3,124,5,1,1,3,6,12,12,16,3,0,3,3,6,14,20,28,30,0,0,2,23,287,0,1,12,19,0,8,27,4,23,3,11,0,10,13,2,5,2,0,0,5,5,106,4,19,0,428,94,275,86,52,108,54,44,15,20,14,41,24,6,9,10,4,12,37,13,3,3,25,8,11,7,12,10,15,10,73,4,3,4,31,1,84,6,0,0,2,1,77,34,16,0,4,3,0,1,3,4,0,3,5,3,1,0
E02003068,4,2,4,0,0,0,8,2,1,1,0,3,0,0,0,0,0,2,0,1,1,1,0,0,0,1,1,3,13,51,36,2,15,2,87,5,4,5,4,6,8,10,8,15,0,1,13,3,14,20,29,42,2,2,11,47,302,1,3,11,20,0,4,26,3,23,0,2,3,12,17,5,9,2,1,0,4,7,113,7,11,1,82,22,50,362,17,112,18,33,14,10,12,17,17,15,1,4,3,8,26,5,4,1,5,10,9,4,4,4,7,11,27,2,0,2,22,0,45,1,1,0,0,0,45,15,14,1,2,2,0,0,9,3,0,8,3,3,2,0
E02003069,2,0,0,0,0,0,5,1,2,0,0,2,0,1,0,2,0,1,0,2,2,1,0,0,1,0,0,4,2,13,12,1,1,0,35,2,2,0,2,1,6,1,8,5,1,1,6,3,7,19,13,13,0,0,1,14,152,0,2,6,13,0,1,10,0,7,5,2,1,5,5,4,2,0,1,1,2,4,69,3,5,0,35,20,52,38,221,54,228,54,15,65,12,95,16,12,8,13,3,10,46,15,3,6,18,19,6,5,1,6,3,7,26,1,0,0,15,0,20,2,2,0,1,0,49,16,11,2,1,2,0,3,1,2,0,1,0,1,1,0
E02003070,8,5,3,1,1,1,15,12,3,0,5,13,2,0,0,1,0,5,2,5,10,5,2,0,0,2,1,2,16,45,53,3,22,4,83,7,4,2,1,12,13,18,20,21,0,6,14,14,45,47,58,88,1,3,11,78,696,2,19,18,83,1,18,71,3,79,9,17,8,19,49,10,19,4,6,2,10,21,282,8,28,4,119,53,96,92,65,348,63,116,51,31,84,69,51,19,7,10,6,17,50,16,4,10,21,21,15,8,9,11,11,16,58,2,3,6,38,1,74,6,2,0,3,6,168,35,12,1,11,4,0,8,6,10,2,12,5,3,2,6
E02003071,1,1,0,0,0,0,12,4,3,1,1,2,2,0,0,2,0,1,1,9,5,2,1,1,0,0,0,3,2,42,14,1,9,2,66,2,1,0,1,7,1,2,10,5,1,1,5,1,7,14,22,14,1,0,1,19,214,1,5,10,8,3,6,13,0,14,0,7,0,8,4,1,3,1,3,0,5,9,83,4,6,2,55,33,45,49,239,83,516,79,24,198,24,216,31,23,5,22,5,17,55,14,5,14,32,27,26,20,3,3,8,7,29,2,2,1,20,0,29,0,0,0,1,0,44,12,10,1,4,1,1,2,4,4,0,2,4,0,0,0
E02003072,3,1,5,0,0,0,9,1,0,2,0,8,1,0,0,0,0,2,1,3,9,2,1,0,0,1,0,3,9,40,14,0,4,6,58,4,0,3,1,5,8,6,14,14,1,4,6,3,12,24,45,28,0,0,7,24,292,2,13,7,28,1,16,27,0,31,0,22,0,20,22,3,12,4,5,2,2,9,163,8,19,0,42,39,49,74,69,197,75,650,242,38,110,97,67,37,5,9,9,15,48,15,8,0,22,26,10,14,4,3,8,6,43,3,0,4,24,0,38,1,2,2,0,0,66,19,12,0,3,1,0,9,4,0,0,2,1,1,3,5
E02003073,1,1,0,0,0,0,9,3,3,0,0,4,1,1,0,2,0,0,1,4,5,1,2,1,1,0,2,3,3,27,13,3,9,1,41,6,0,0,1,5,1,6,9,8,0,4,4,1,8,17,35,25,1,2,4,25,265,0,7,7,22,1,16,29,1,34,5,12,1,16,6,2,13,0,0,1,2,9,144,7,20,0,26,25,34,42,50,134,52,378,202,28,79,66,45,19,5,9,4,15,39,12,5,2,15,23,11,13,2,4,7,8,27,2,0,4,15,0,54,1,1,0,0,0,88,16,13,0,4,3,0,7,3,3,0,1,2,3,0,1
E02003074,0,0,0,0,0,0,8,6,2,2,0,0,0,1,0,2,0,0,0,1,3,0,4,0,0,2,1,4,6,50,16,0,6,2,83,4,1,3,1,3,6,8,6,2,2,0,1,2,8,17,22,24,0,2,4,11,230,0,6,8,20,2,9,17,1,20,1,8,2,9,20,0,3,0,0,1,3,12,111,1,10,2,70,44,68,77,296,110,484,85,34,366,27,264,43,45,5,11,5,16,62,22,5,6,33,30,15,31,7,10,7,9,80,1,1,1,26,1,54,3,1,0,1,1,51,22,9,0,9,0,0,0,1,2,0,1,0,0,2,0
E02003075,2,1,0,1,2,0,17,4,5,2,0,8,1,0,0,2,1,2,1,1,18,2,1,1,0,2,1,2,7,12,16,2,8,4,31,3,3,1,0,4,10,5,12,5,1,3,10,3,23,14,25,28,0,4,4,33,280,0,6,4,30,1,4,39,1,26,12,10,2,22,11,3,10,2,2,1,10,14,139,3,12,2,18,12,23,28,14,85,28,106,35,8,207,46,54,33,2,3,3,3,18,7,2,2,25,13,15,4,5,1,2,2,19,1,0,0,19,1,27,1,0,0,1,0,53,10,8,0,3,1,0,2,2,1,0,6,5,3,1,0
E02003076,3,3,2,0,0,0,10,2,3,0,0,4,0,1,0,4,0,4,0,1,8,1,1,0,2,1,1,4,12,38,22,1,15,4,52,3,0,2,2,5,10,9,10,6,2,2,9,6,10,24,29,7,0,0,7,20,318,1,6,15,14,1,9,24,2,31,0,12,4,7,16,10,15,3,0,0,4,9,195,6,19,0,43,27,40,48,78,83,150,76,28,63,79,665,108,157,8,21,17,28,61,28,5,10,86,42,32,28,7,10,6,6,52,4,1,3,21,1,47,4,0,0,1,1,94,31,8,1,6,8,0,5,3,10,0,3,8,3,0,0
E02003077,1,3,5,0,0,1,6,3,4,5,0,6,0,0,0,8,0,2,1,22,86,2,6,0,4,2,0,3,7,14,11,2,9,1,14,5,1,3,3,10,4,3,5,4,2,2,5,2,10,23,32,17,2,3,5,12,202,0,3,8,34,3,18,54,7,33,8,22,1,12,28,12,49,1,5,1,8,17,91,4,17,0,11,5,5,16,17,34,10,35,13,8,38,52,316,38,6,5,2,9,38,10,6,3,87,20,8,14,0,5,4,13,18,3,2,2,8,0,16,2,0,1,0,0,38,9,5,0,4,5,1,4,0,6,1,3,6,0,2,4
E02003078,3,4,2,0,0,0,5,1,4,0,2,9,0,1,0,2,0,0,0,2,2,3,1,0,3,4,0,3,0,15,7,0,6,0,27,3,0,0,0,3,1,1,9,2,1,0,4,1,4,9,18,12,0,2,2,9,163,0,3,2,6,0,7,10,0,12,3,4,1,9,13,4,1,1,2,0,2,3,92,3,6,1,16,16,18,30,39,38,46,32,16,25,37,93,69,298,56,58,34,66,176,50,26,26,80,80,54,56,2,2,6,4,23,1,0,1,18,0,22,3,0,0,0,2,45,13,6,0,6,0,0,0,1,8,0,1,1,3,1,0
E02003079,0,0,1,0,0,0,9,6,3,0,0,2,0,0,0,2,0,1,0,0,0,0,4,0,2,2,0,0,3,42,6,3,5,1,58,4,3,2,0,2,0,3,6,3,0,1,3,4,1,14,16,11,0,0,2,5,125,1,2,7,8,0,8,15,1,16,1,2,0,6,8,5,8,0,1,0,0,4,75,6,18,2,35,23,24,36,51,55,43,42,8,35,16,89,77,142,305,256,77,134,544,179,77,42,79,224,221,174,5,5,8,12,28,2,0,2,18,1,20,4,1,0,0,2,57,15,13,0,4,0,0,2,3,2,1,2,2,2,1,2
E02003080,0,3,0,0,0,2,6,1,3,0,0,1,0,0,0,4,0,1,0,0,1,1,1,1,0,1,0,0,1,28,1,1,0,1,26,6,1,2,0,1,1,1,4,1,0,1,3,3,2,9,8,13,0,0,1,2,83,0,5,5,3,0,2,5,0,10,1,2,0,8,3,2,2,0,0,0,0,4,44,6,7,0,10,14,5,30,32,30,27,37,5,27,13,50,48,86,84,295,71,128,475,132,65,39,83,152,132,129,5,2,3,5,21,3,1,2,13,0,15,0,0,0,0,0,27,8,4,0,2,1,0,0,2,0,0,1,2,0,1,5
E02003081,3,0,1,0,0,0,5,4,2,0,2,2,0,0,0,1,1,1,0,1,0,0,0,0,4,2,0,0,1,16,5,0,5,0,35,5,1,1,0,4,4,5,4,1,0,3,3,2,6,9,8,2,0,0,3,6,73,0,0,2,6,1,3,3,0,7,2,3,0,3,7,0,3,0,0,0,1,3,83,4,12,1,18,17,15,24,55,47,28,42,4,31,15,65,51,75,62,187,223,140,556,145,63,37,66,217,115,161,3,3,3,4,23,0,0,1,13,0,22,0,0,0,0,0,40,10,5,0,5,2,0,0,1,2,0,1,3,1,0,2
E02003082,2,1,0,0,1,0,4,3,0,0,0,2,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,2,16,6,0,1,1,28,0,1,0,0,5,4,3,3,5,1,1,2,2,2,13,12,8,0,0,2,9,81,0,0,1,9,0,4,12,0,5,1,2,0,4,2,1,6,2,0,0,0,3,68,2,3,0,17,15,4,26,34,19,26,22,6,15,11,54,57,66,25,76,41,352,638,161,77,32,89,197,98,109,3,5,0,4,13,3,0,1,10,0,40,2,0,0,1,0,39,8,6,0,0,0,0,0,0,4,0,1,0,0,1,0
E02003084,1,1,0,0,1,1,8,1,1,0,2,1,1,0,0,0,1,4,0,0,4,0,0,0,0,0,0,1,1,13,3,1,3,0,23,2,2,2,1,6,1,4,2,3,0,1,4,0,1,6,4,9,0,1,1,2,58,0,2,5,4,1,3,6,0,8,0,2,0,1,7,4,0,0,0,1,1,3,54,3,6,2,21,14,14,16,28,22,28,31,3,19,5,37,30,87,36,77,36,255,917,172,113,39,95,178,83,180,4,5,2,1,10,2,1,1,13,0,25,4,0,0,0,0,24,10,0,0,1,0,0,2,4,2,0,1,1,3,1,1
E02003085,0,0,0,0,0,0,2,2,1,0,1,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,6,1,2,0,25,0,0,0,0,1,2,2,1,0,1,0,0,3,1,4,9,2,0,1,0,4,30,0,0,2,3,0,2,7,0,5,0,1,0,2,4,1,2,0,0,0,1,2,18,0,4,0,12,6,6,11,13,23,25,10,4,20,2,45,31,48,25,39,30,149,592,304,101,22,60,233,56,141,2,2,1,1,24,0,1,1,3,0,13,1,0,0,0,0,9,5,3,0,0,0,0,0,1,0,0,0,1,0,1,2
E02003086,0,0,1,1,0,0,8,1,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,17,8,0,2,0,12,2,0,0,0,4,9,4,1,3,0,0,3,0,2,6,8,4,0,1,2,1,51,0,2,1,7,0,0,7,0,2,0,0,0,1,2,0,4,1,0,1,0,0,34,2,3,3,12,13,5,10,18,14,17,12,4,10,2,36,23,34,13,39,29,110,397,132,176,30,66,196,53,107,0,1,1,7,10,0,0,0,3,0,19,3,0,0,0,0,10,10,2,1,0,1,0,0,2,2,0,0,0,0,0,1
E02003087,3,0,3,0,0,0,6,3,0,0,2,3,0,0,0,0,0,3,0,2,6,2,1,1,2,1,1,2,3,32,4,1,2,0,36,3,3,0,0,3,1,5,3,3,1,0,5,3,2,10,13,9,2,1,3,8,90,1,3,5,8,0,3,12,1,11,3,6,1,3,11,0,2,0,0,0,2,4,60,3,10,2,23,18,14,23,56,21,37,33,9,27,20,62,72,81,52,80,44,116,385,114,60,264,153,218,87,134,5,4,5,4,24,0,1,3,22,0,27,2,0,0,0,1,47,13,8,0,5,2,0,4,1,0,1,4,1,1,1,0
E02003088,4,3,5,1,1,0,14,8,4,0,3,10,4,2,0,1,1,5,0,3,26,0,4,1,5,5,2,5,4,12,6,4,6,2,31,4,1,0,0,5,2,0,6,2,0,4,9,2,8,18,17,19,0,1,3,22,200,0,4,3,9,0,3,23,1,25,5,2,1,15,27,7,9,2,3,2,4,13,101,6,8,0,7,22,8,10,26,17,22,32,11,13,30,54,142,62,10,32,9,29,95,21,12,32,614,64,30,20,3,4,9,4,16,3,0,0,12,0,20,1,1,0,0,0,30,10,5,0,3,0,0,1,2,0,1,2,4,1,5,4
E02003089,0,0,0,0,1,0,4,8,1,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,7,4,0,2,0,14,0,0,1,0,2,2,0,1,0,0,1,1,0,3,3,3,7,1,0,0,3,34,0,0,0,0,0,2,3,0,7,0,2,0,4,0,0,3,0,0,0,1,1,32,1,3,0,8,3,8,19,18,21,8,15,2,4,5,28,18,20,15,31,23,91,341,125,78,38,31,330,36,107,2,0,3,5,11,3,1,0,4,0,15,0,0,0,0,1,8,7,2,0,0,0,0,2,0,2,0,0,1,0,0,0
E02006845,1,2,3,0,0,0,7,3,7,0,3,3,0,2,0,0,0,2,0,2,4,2,4,1,2,3,0,1,6,41,7,1,7,0,67,1,7,0,0,6,4,3,4,5,0,4,0,4,9,13,11,12,0,1,5,8,140,0,2,4,10,0,4,8,1,15,0,5,0,7,7,1,3,2,0,0,1,6,80,3,11,1,23,33,26,34,46,37,34,40,3,24,23,81,61,104,94,140,57,103,414,132,48,46,92,147,272,136,3,3,3,10,49,2,2,1,24,0,32,2,0,0,0,6,64,6,6,0,3,1,0,3,4,1,0,1,3,0,1,1
E02006846,0,0,1,0,0,1,6,3,2,0,1,3,0,0,0,1,0,2,0,1,4,1,2,0,2,1,0,2,2,24,10,0,13,0,44,4,0,3,0,2,4,3,2,2,1,2,4,1,3,5,12,9,1,2,7,10,97,0,2,8,4,0,4,14,1,16,2,7,0,6,8,1,8,1,0,0,0,9,86,7,16,0,22,29,10,37,40,31,27,32,5,34,16,71,55,65,44,103,45,102,456,123,42,47,119,175,141,209,1,5,11,11,51,1,0,3,15,0,31,3,0,0,0,0,43,16,6,0,3,1,0,4,5,1,0,1,1,3,3,0
E02003090,1,1,0,0,0,0,15,2,4,1,0,3,0,0,0,3,0,2,0,1,3,2,0,0,0,0,1,3,5,28,44,5,14,1,35,3,1,2,3,9,16,7,7,6,0,4,1,6,6,8,15,9,2,1,0,8,117,2,4,9,4,0,2,10,0,5,2,9,1,1,0,3,0,1,0,1,2,7,64,8,3,5,2,6,4,13,1,8,2,0,1,0,1,6,5,3,0,1,0,0,3,1,0,0,0,2,2,0,399,411,52,160,108,23,2,11,62,6,97,19,4,3,3,5,134,39,52,1,11,2,3,10,10,8,2,5,5,0,3,2
E02003091,3,1,3,0,0,0,4,3,3,1,1,2,0,0,0,1,0,1,0,0,2,0,4,0,1,0,0,8,6,41,45,5,14,0,55,2,1,4,2,10,8,2,7,5,0,2,1,5,10,12,15,11,0,1,3,10,109,2,2,3,6,0,5,11,0,7,1,7,0,1,2,1,4,0,0,0,0,4,64,2,14,1,2,2,5,7,2,8,0,2,3,1,0,5,5,0,1,2,1,0,0,0,0,1,3,1,1,0,337,557,57,134,127,30,7,19,51,2,79,15,8,1,1,9,153,46,35,2,12,4,0,10,5,9,2,7,6,1,2,1
E02003092,5,4,8,1,1,0,17,9,4,6,0,4,0,0,1,3,0,3,1,2,0,2,0,4,1,0,0,3,6,11,36,5,11,1,23,2,4,0,3,21,12,6,5,0,3,3,4,13,6,21,22,14,3,0,7,11,132,0,3,6,3,1,8,5,1,11,2,2,0,4,2,0,1,2,0,1,1,7,68,7,17,3,3,5,4,7,0,6,3,1,2,1,0,5,4,1,1,0,1,2,2,2,0,1,0,2,0,0,74,96,434,53,62,85,21,81,38,43,58,15,22,10,8,16,178,40,98,3,19,8,6,57,11,17,8,9,19,9,3,15
E02003093,3,1,1,0,0,1,7,6,1,1,0,1,0,0,0,2,0,2,0,4,1,1,1,0,1,1,0,9,20,28,60,5,17,3,41,4,3,1,1,18,8,12,4,13,4,4,5,10,8,15,17,21,1,0,2,9,144,2,1,8,3,0,9,12,2,5,2,4,1,1,2,1,5,1,1,0,2,13,60,4,20,0,3,6,6,11,2,8,4,0,0,0,1,4,3,1,0,0,1,2,1,1,0,0,3,2,2,1,136,185,33,295,127,22,6,9,52,2,102,13,1,2,12,9,160,53,37,4,17,4,1,12,11,8,0,4,4,2,3,6
E02003094,5,2,3,0,0,1,9,8,6,0,5,3,2,0,0,3,1,1,0,3,1,0,2,0,0,0,0,34,32,110,95,8,35,1,172,19,8,12,4,17,11,19,27,12,4,3,22,18,15,26,26,28,1,2,15,36,211,0,7,11,15,2,11,19,3,15,1,10,0,8,4,2,9,0,0,1,1,12,110,12,25,6,14,10,16,30,10,30,7,2,7,3,7,11,11,7,2,10,0,2,10,4,1,2,3,1,7,5,59,94,27,116,512,13,4,12,106,2,191,20,4,0,6,10,154,78,41,5,6,11,5,14,12,6,7,15,13,5,2,9
E02003095,6,0,5,1,1,0,23,5,3,5,0,10,2,2,0,4,2,3,0,0,2,0,1,0,1,1,0,1,4,19,36,6,6,0,26,2,1,2,7,29,9,20,12,1,3,7,6,11,4,17,19,5,3,2,6,0,115,4,4,11,3,1,15,13,0,9,1,9,0,5,2,1,2,0,1,0,0,10,95,8,17,1,3,6,6,14,0,7,1,3,0,0,3,3,9,2,0,2,0,0,3,0,0,0,1,1,1,1,37,31,225,24,77,420,119,151,64,125,79,10,13,19,4,22,225,49,236,4,43,23,4,39,17,22,4,19,14,5,9,13
E02003096,3,3,6,0,0,2,23,5,3,1,0,4,1,0,1,3,1,0,0,0,1,1,2,0,1,1,1,6,4,23,29,6,4,0,36,1,0,3,5,37,7,8,5,3,8,5,9,12,2,9,24,3,3,3,11,6,96,1,1,10,8,1,6,11,0,1,1,6,0,2,3,4,6,1,0,0,1,7,88,10,19,2,1,2,10,7,1,6,0,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,2,1,0,4,39,40,226,28,77,289,204,139,44,107,97,13,14,21,4,29,196,50,218,1,40,16,4,41,16,14,6,19,15,4,4,8
E02003097,7,2,3,0,1,1,20,10,4,2,2,12,2,0,0,2,0,1,0,0,0,1,2,0,0,2,0,1,5,15,16,3,8,1,25,2,5,0,6,24,5,3,9,3,0,6,3,8,4,13,25,4,4,2,5,7,94,2,2,6,8,0,6,9,0,8,1,7,0,1,5,3,2,0,1,0,1,8,47,4,16,2,1,4,1,8,2,8,1,0,0,6,3,0,2,1,1,0,0,0,3,1,0,0,1,2,2,0,29,41,141,21,51,166,65,309,41,87,67,9,8,23,6,17,166,28,180,0,24,13,5,34,10,14,3,13,18,7,5,5
E02003098,6,8,3,1,1,0,18,12,5,0,2,7,3,1,0,1,1,4,0,1,5,0,5,0,0,1,0,10,19,62,94,9,37,3,76,18,6,7,7,31,35,41,24,19,5,5,19,20,14,34,61,31,4,4,7,19,290,4,2,11,15,1,10,28,1,14,7,18,2,8,5,4,4,2,0,1,4,21,192,20,42,2,8,17,7,31,7,34,5,3,3,3,11,9,14,3,1,2,0,3,3,1,0,0,2,4,2,4,52,88,56,67,330,31,6,28,584,10,490,184,21,4,21,40,619,148,72,5,33,16,3,17,19,7,6,12,15,4,12,9
E02003099,5,3,4,0,0,0,16,5,1,2,2,6,2,2,0,3,1,1,1,1,1,4,2,1,0,2,0,4,5,11,26,1,1,0,21,1,4,3,4,22,18,5,7,3,0,9,8,12,4,8,18,7,0,0,8,7,94,4,1,10,6,0,4,13,0,7,4,8,1,4,2,2,3,2,0,0,2,8,79,6,23,7,1,3,5,7,0,10,2,4,1,1,1,7,8,2,0,0,0,0,1,0,1,0,2,1,1,2,19,28,216,13,56,341,133,123,64,188,57,13,10,46,1,36,158,32,288,3,37,9,4,25,19,22,3,17,16,8,6,9
E02003100,3,4,4,1,0,0,13,7,1,0,3,5,0,1,0,1,0,3,1,2,2,0,5,0,0,1,0,24,26,130,143,14,35,4,125,22,16,8,12,20,22,25,39,17,10,7,18,22,16,39,42,30,4,3,7,16,193,3,2,20,10,2,10,19,2,11,5,8,0,11,6,4,6,1,0,1,1,12,130,10,38,2,6,10,10,34,2,23,1,4,3,2,3,10,6,0,0,0,0,0,1,0,0,0,1,4,3,5,37,72,53,56,630,24,12,16,207,1,670,62,6,0,18,17,331,185,65,2,26,14,3,12,19,28,4,17,21,14,6,19
E02003101,7,6,6,1,0,0,20,6,9,1,5,15,2,1,0,0,0,3,1,2,5,4,16,0,2,0,0,14,20,67,118,7,36,3,76,7,13,8,5,34,29,40,36,22,3,11,23,12,20,42,63,23,3,2,16,16,332,2,3,19,12,1,12,23,3,18,5,13,0,4,10,6,7,3,1,0,2,13,210,11,42,4,8,12,16,24,6,20,4,5,0,0,1,7,15,1,0,1,1,3,5,3,0,1,3,1,3,6,49,80,48,41,387,32,10,21,470,8,569,287,12,2,43,29,669,182,73,2,32,7,2,12,18,14,6,13,11,7,13,7
E02003102,3,5,9,0,0,2,11,8,4,2,5,6,0,0,0,3,4,1,0,0,0,1,0,0,0,0,0,7,5,13,41,4,7,0,7,4,0,4,4,29,17,7,4,5,3,4,8,22,2,23,33,6,1,4,5,10,138,3,3,10,3,3,12,8,0,8,4,11,0,2,9,3,2,0,0,0,3,10,77,13,24,4,3,8,7,11,2,5,0,7,2,0,2,3,5,0,0,0,1,0,6,2,1,0,0,0,1,1,18,45,67,15,103,51,30,35,63,15,94,15,180,2,6,71,287,44,154,7,40,17,5,15,22,17,6,31,16,8,15,15
E02003103,11,2,5,2,1,0,15,9,4,1,1,4,0,1,0,6,1,0,1,5,2,0,8,0,0,0,0,1,6,47,28,0,9,0,28,5,3,1,2,45,8,7,10,4,4,5,10,19,4,15,26,5,3,5,9,2,111,1,0,9,3,0,12,17,1,12,3,11,0,5,1,4,3,1,3,1,1,4,75,16,18,4,2,4,1,10,1,9,1,5,1,2,1,2,8,0,0,1,0,0,3,1,0,2,7,2,1,0,27,56,277,18,72,310,139,193,67,167,84,21,15,129,6,28,191,50,335,5,40,19,5,50,29,17,2,19,19,6,8,13
