,E02002985,E02002986,E02002987,E02002988,E02002989,E02002990,E02002991,E02002992,E02002993,E02002994,E02002995,E02002996,E02002997,E02002998,E02002999,E02003000,E02003001,E02003002,E02003003,E02003004,E02003005,E02003006,E02003007,E02003008,E02003009,E02003010,E02003011,E02003012,E02003013,E02003014,E02003015,E02003016,E02003017,E02003018,E02003019,E02003020,E02003021,E02003022,E02003023,E02003024,E02003025,E02003026,E02003027,E02003028,E02003029,E02003030,E02003031,E02003032,E02003033,E02003034,E02003036,E02003037,E02003038,E02003039,E02003040,E02003041,E02003043,E02003044,E02003045,E02003046,E02003047,E02003048,E02003049,E02003050,E02003051,E02003052,E02003053,E02003054,E02003055,E02003056,E02003057,E02003058,E02003059,E02003060,E02003061,E02003062,E02003063,E02003064,E02006887,E02006888,E02006889,E02006890,E02003065,E02003066,E02003067,E02003068,E02003069,E02003070,E02003071,E02003072,E02003073,E02003074,E02003075,E02003076,E02003077,E02003078,E02003079,E02003080,E02003081,E02003082,E02003084,E02003085,E02003086,E02003087,E02003088,E02003089,E02006845,E02006846,E02003090,E02003091,E02003092,E02003093,E02003094,E02003095,E02003096,E02003097,E02003098,E02003099,E02003100,E02003101,E02003102,E02003103,E02003104,E02003105,E02003106,E02003107,E02003108,E02003109,E02003110,E02003111,E02003112,E02003113,E02003114,E02003115,E02003116,E02003117,E02003118,E02003119,E02003120,E02003121
E02003005,11,15,7,1,2,0,64,27,14,10,17,20,2,3,0,26,5,11,9,62,383,11,34,7,27,14,10,0,1,4,8,3,6,0,14,4,0,2,1,7,6,3,7,1,0,2,2,2,14,10,23,22,1,0,2,17,200,0,5,5,11,0,12,19,3,14,12,16,3,13,30,12,19,5,1,4,9,12,97,0,15,1,2,2,6,7,4,14,2,7,3,1,8,8,56,6,0,3,0,1,4,4,1,1,58,4,4,4,3,0,8,8,5,1,0,2,8,0,12,0,1,1,1,0,31,13,6,0,8,1,0,8,3,4,1,11,5,2,3,7
E02003006,22,13,21,11,13,23,543,210,144,60,59,281,40,29,13,84,95,74,36,19,8,256,73,65,128,123,41,0,1,3,2,1,1,0,5,2,5,3,2,9,5,6,1,1,0,2,2,5,1,7,3,7,2,0,0,3,53,0,1,2,2,0,9,5,1,4,1,12,2,9,7,7,3,1,0,0,3,8,45,0,10,3,2,4,0,1,1,7,0,1,0,0,3,1,8,2,0,1,0,0,0,1,0,0,4,3,0,0,3,1,6,2,4,0,0,1,7,0,16,0,0,0,0,1,61,7,11,0,3,1,0,10,2,2,0,3,6,3,1,5
E02003007,30,40,38,4,10,11,220,144,44,24,40,102,7,12,3,84,31,28,13,101,36,64,433,66,201,229,52,1,2,2,4,1,2,1,10,4,0,2,2,4,4,10,2,1,1,2,3,6,9,13,17,4,0,0,6,7,95,2,0,10,7,1,16,14,0,10,7,14,2,17,10,11,8,3,1,0,4,7,74,4,25,0,3,7,1,4,0,7,0,0,4,3,4,6,18,2,1,0,0,1,4,1,0,0,21,0,0,1,1,1,8,1,7,4,0,2,4,0,9,1,0,0,0,1,44,7,24,0,3,4,0,4,7,2,0,6,6,3,7,11
E02003008,9,15,18,4,5,7,211,95,67,33,35,105,18,10,7,32,41,28,9,19,8,62,87,223,147,231,23,0,1,2,1,0,1,0,2,0,0,0,1,3,0,3,0,2,0,0,0,1,0,3,2,3,0,0,1,1,40,1,0,4,1,1,7,2,0,0,0,8,0,5,2,2,3,2,0,0,5,1,23,3,4,1,0,1,0,0,0,1,1,0,2,0,0,0,9,1,0,1,0,1,5,1,0,0,10,0,0,0,1,0,1,3,2,0,0,2,10,0,9,0,0,0,0,0,20,5,5,0,0,0,0,2,1,3,0,3,1,4,1,0
E02003009,12,18,9,5,2,9,205,69,45,24,32,73,14,2,6,27,29,32,12,25,20,43,181,88,357,310,92,0,0,0,2,0,0,0,3,0,0,0,0,1,4,2,1,0,1,2,0,4,0,8,5,4,0,0,1,2,38,0,1,3,4,0,10,2,1,3,0,9,0,4,1,7,7,0,1,0,3,3,24,3,7,0,2,5,1,3,2,5,1,1,1,2,0,1,13,1,1,0,0,1,0,0,0,0,10,0,1,1,1,1,2,3,4,0,0,1,3,0,5,2,0,0,1,0,41,0,11,0,3,1,0,3,4,3,0,1,5,2,1,2
E02003010,9,10,14,3,8,8,214,90,56,32,32,59,9,5,7,32,25,28,6,33,5,62,131,122,281,480,69,0,0,2,1,0,0,0,4,2,1,0,0,2,5,0,4,0,0,0,2,1,1,8,3,1,1,0,3,0,25,0,0,4,0,0,8,6,4,4,0,9,0,3,2,1,1,2,1,0,1,3,22,0,5,0,0,1,2,2,1,3,0,0,3,1,4,2,5,1,0,1,0,0,1,1,0,1,11,1,1,0,0,1,3,2,2,2,0,2,2,0,5,0,0,0,0,1,33,8,11,0,3,0,0,4,1,1,2,0,5,0,2,2
E02003011,7,8,5,1,3,1,135,67,35,17,14,40,13,7,2,29,20,19,6,26,18,37,101,73,259,324,124,0,0,0,0,0,0,0,4,0,0,0,0,4,1,3,0,0,0,0,0,3,0,1,3,1,0,0,3,1,27,1,2,5,3,0,6,2,0,3,2,8,0,8,6,4,1,0,0,0,1,3,17,1,7,1,0,3,0,2,1,8,2,0,3,0,1,1,5,0,1,2,0,0,1,0,0,0,4,1,1,2,1,1,4,0,4,1,0,1,2,0,9,0,0,1,0,0,19,1,4,0,1,0,0,2,0,0,1,1,1,0,0,4
E02003012,5,2,8,0,0,0,11,12,3,1,1,4,0,0,0,3,2,1,0,5,3,2,7,0,0,0,0,315,98,147,186,10,132,5,168,83,12,32,6,23,32,47,42,42,5,8,13,5,41,49,63,60,8,1,14,55,368,1,3,16,26,2,13,32,4,21,5,19,1,16,8,12,22,4,1,2,5,9,167,21,26,6,6,5,4,26,4,25,1,7,4,1,10,5,15,2,0,2,0,2,2,1,1,0,1,4,2,4,8,22,29,23,397,4,5,6,61,3,137,10,3,0,1,8,150,120,24,2,11,4,3,3,16,12,0,7,2,5,0,5
E02003013,8,2,3,2,1,0,9,3,4,0,3,7,0,1,0,0,1,1,0,6,2,2,8,1,0,0,1,103,318,100,419,14,141,6,131,85,21,33,4,28,48,49,55,50,3,9,41,13,36,39,87,39,3,3,36,38,362,1,11,23,29,2,10,23,0,18,6,21,2,22,9,12,4,2,4,1,5,17,154,30,35,6,2,8,9,47,0,30,5,6,3,2,1,7,12,3,1,0,1,1,3,2,0,0,6,0,1,2,5,34,11,27,332,8,1,7,72,2,130,19,1,0,3,6,213,182,31,3,21,6,2,6,14,12,0,19,7,1,8,10
E02003014,4,0,1,0,0,0,3,1,0,0,0,1,1,0,0,4,0,0,0,5,3,1,5,0,0,0,0,55,27,414,56,6,57,31,434,30,10,13,2,14,13,71,29,20,3,2,14,8,21,17,36,21,2,5,23,23,195,2,6,7,9,0,9,28,1,23,4,7,1,9,7,9,9,1,1,0,0,17,76,9,25,4,6,3,6,46,4,46,2,5,2,2,4,5,2,0,1,0,0,0,0,0,0,1,2,0,1,4,9,9,15,5,261,6,1,2,29,0,53,5,0,0,4,1,48,42,17,0,3,2,0,8,3,7,1,13,1,0,4,4
